head,rel,tail
(:Head {name: zone control unit}),[:subclass of],(:Tail {name: hvac systems})
(:Head {name: exhaust air system}),[:subclass of],(:Tail {name: extract air})
(:Head {name: local control unit}),[:subclass of],(:Tail {name: hvac zone control unit})
(:Head {name: zone control unit}),[:subclass of],(:Tail {name: control program})
(:Head {name: zone control unit}),[:part of],(:Tail {name: hvac system})
(:Head {name: zone control unit}),[:subclass of],(:Tail {name: control program controls})
(:Head {name: condenser unit}),[:subclass of],(:Tail {name: hvac})
(:Head {name: anchor}),[:part of],(:Tail {name: supporting structure})
(:Head {name: opto-programming & processing}),[:use],(:Tail {name: opto-programming})
(:Head {name: damper actuators}),[:subclass of],(:Tail {name: valve actuators})
"(:Head {name: heating, ventilation, and air conditioning})",[:subclass of],(:Tail {name: hvac})
(:Head {name: hvac analytics system}),[:facet of],(:Tail {name: hvac})
(:Head {name: computer network}),[:has part],(:Tail {name: server})
(:Head {name: hvac controller}),[:use],(:Tail {name: hvac})
(:Head {name: master hvac schedule}),[:facet of],(:Tail {name: hvac controller})
(:Head {name: hvac capacity available ratio}),[:facet of],(:Tail {name: hvac})
(:Head {name: hvac zone controller}),[:part of],(:Tail {name: hvac system})
(:Head {name: de-energizing}),[:facet of],(:Tail {name: hvac})
(:Head {name: signal cable}),[:use],(:Tail {name: hvac})
(:Head {name: hvac}),[:part of],(:Tail {name: indoor})
(:Head {name: hvac system}),[:has parts of the class],"(:Tail {name: heating, ventilation, and air conditioning})"
(:Head {name: coupling}),[:subclass of],(:Tail {name: fastener})
(:Head {name: hvac}),[:has part],(:Tail {name: clip})
(:Head {name: hvac remote controller}),[:use],(:Tail {name: hvac system})
(:Head {name: critical peak pricing}),[:facet of],(:Tail {name: hvac})
(:Head {name: nominal setpoint}),[:subclass of],(:Tail {name: nominal hvac control parameter})
(:Head {name: hvac}),[:part of],(:Tail {name: building})
(:Head {name: hvac remote controller}),[:subclass of],(:Tail {name: hvac controller})
(:Head {name: cost constraint}),[:facet of],(:Tail {name: hvac})
(:Head {name: cloud-based}),[:subclass of],(:Tail {name: computer system})
(:Head {name: remote diagnosis}),[:subclass of],(:Tail {name: diagnosis})
(:Head {name: refrigerant}),[:use],(:Tail {name: hvac})
(:Head {name: hvac device blocks}),[:subclass of],(:Tail {name: hvac field device})
(:Head {name: hvac}),[:part of],(:Tail {name: energy management system})
(:Head {name: hvac unit}),[:use],(:Tail {name: hvac test})
(:Head {name: hvac testing}),[:facet of],(:Tail {name: hvac})
(:Head {name: efficiency}),[:facet of],(:Tail {name: hvac})
